,courseNum,courseName,description
0,EN53042501,Mechanics of Flight,"Prerequisites: 530.231, 530.327, 530.328 (may be taken concurrently), or permission of the instructor.
Elements of flight dynamics: aerodynamics forces, gliding, cruising, turning, ascending, descending, stability, etc. Review of the pertinent fluid mechanic principles. Application to two-dimensional airfoils and theory of lift. Three-dimensional airfoils. Boundary layers. Effects of compressibility. Subsonic and supersonic flight."
1,EN53020401,Manufacturing Engineering Theory,"An introduction to the grand spectrum of the manufacturing processes and technologies used to produce metal and nonmetal components. Topics include casting, forming and shaping, and the various processes for material removal including computer-controlled machining. Simple joining processes and surface preparation are discussed. Economic and production aspects are considered throughout. Students should have knowledge of engineering drawing software like SolidWorks, AutoCAD, or Pro-E."
2,EN53032701,Introduction to Fluid Mechanics,"Prereq: 530/560.202 and either 110.302 or 550.291   Physical properties of fluids. Fluid statics. Control volumes and surfaces, kinematics of fluids, conservation of mass. Linear momentum in integral form. Bernoulli’s equation and applications. Dimensional analysis. The Navier-Stokes equations. Laminar and turbulent viscous flows. External flows lift and drag."
3,EN56019101,CaSE Collaborative,"From sketching to 3D printing, students in this course will work directly with the tools that civil and systems engineers use to plan and communicate their ideas.  Hands-on learning activities will help students develop these skills, with an emphasis on communication and collaboration using graphical tools such as CAD and GIS software and physical specimens fabricated with manual construction and 3D printing."
4,EN58044201,Tissue Engineering,"Prereqs: 580.221 or 020.305 and 020.306, 030.205.  Recommended 580.441/580.641.
This course focuses on the application of engineering fundamentals to designing biological tissue substitutes.  Concepts of tissue development, structure and function will be introduced. Students will learn to recognize the majority of histological tissue structures in the body and understand the basic building blocks of the tissue and clinical need for replacement.  The engineering components required to develop tissue-engineered grafts will be explored including biomechanics and transport phenomena along with the use of biomaterials and bioreactors to regulate the cellular microenvironment. Emphasis will be placed on different sources of stem cells and their applications to tissue engineering.  Clinical and regulatory perspectives will be discussed.
Co-listed with 580.642"
5,EN58049101,"Learning, Estimation and Control","Prereq: 110.201(Linear Algebra) and 110.302 (Differential Equations).
The course introduces the probabilistic foundations of learning theory.  We will discuss topics in regression, estimation, optimal control, system identification, Bayesian learning, and classification.  Our aim is to first derive some of the important mathematical results in learning theory, and then apply the framework to problems in biology, particularly animal learning and control of action."
6,EN53044801,Biosolid Mechanics,"Prerequisites: 530.201  We will start with a review of the fundamental concepts of statics and mechanics and apply them to study the mechanical behavior of cells, soft tissues, and biofluids.  Topics to be covered include the elasticity of the red blood cell and cell membrane; viscoelasticity of collagenous soft tissues such as tendon, skin and blood vessels; and the rheological behavior of blood."
7,EN53025401,Manufacturing Engineering,"An introduction to the various manufacturing processes used to produce metal and nonmetal components. Topics include casting, forming and shaping, and the various processes for material removal including computer-controlled machining. Simple joining processes and surface preparation are discussed. Economic and production aspects are considered throughout. Special Notes:  Labs and field trips will be scheduled with class separately. Mechanical Engineering and Engineering Mechanics Sophomores and Juniors only."
8,EN56020101,Statics & Mechanics of Materials,"Prereq: 171.101or (530.103 and 530.104) or Permission Only.    Basic principles of classical mechanics applied to the equilibrium of particles and rigid bodies at rest, under the influence of various force systems. In addition, the following topics are studied: free body concept, analysis of simple structures, friction, centroids and centers of gravity, and moments of inertia. Includes laboratory experience.
Co-listed with 530.201"
9,EN55342701,Stochastic Processes and Applications to Finance,"A development of stochastic processes with substantial emphasis on the processes, concepts, and methods useful in mathematical finance.   Relevant concepts from probability theory, particularly conditional probability and conditional expection, will be briefly reviewed.  Important concepts in stochastic processes will be introduced in the simpler setting of discrete-time processes, including random walks, Markov chains, and discrete-time martingales, then used to motivate more advanced material.  Most of the course will concentrate on continuous-time stochastic processes, particularly martingales, Brownian motion, diffusions, and basic tools of stochastic calculus. Examples will focus on applications in finance, economics, business, and actuarial science. Students may not receive credit for both EN.553.427 and EN.553.426."
